account_id,customer_id,account_type,opened_date,balance
A0001,C0001,current,2024-09-11,231801.05
A0002,C0002,savings,2026-07-14,416407.3
A0003,C0003,savings,2023-10-13,358868.46
A0004,C0004,savings,2025-10-21,138165.6
A0005,C0005,current,2024-08-04,490161.83
A0006,C0006,savings,2024-05-02,276530.01
A0007,C0007,savings,2024-04-25,461090.34
A0008,C0008,savings,2024-01-19,439904.48
A0009,C0009,current,2025-02-12,139571.21
A0010,C0010,savings,2025-12-08,208641.33
A0011,C0011,current,2026-01-01,254853.36
A0012,C0012,current,2023-12-14,142853.81
A0013,C0013,savings,2023-12-29,294294.99
A0014,C0014,current,2024-11-01,245840.89
A0015,C0015,savings,2025-03-25,270213.13
A0016,C0016,savings,2026-07-24,276854.87
A0017,C0017,savings,2024-09-11,228761.62
A0018,C0018,savings,2024-10-20,95948.88
A0019,C0019,savings,2024-08-17,286755.23
A0020,C0020,savings,2024-10-16,388221.15
A0021,C0021,savings,2024-07-23,372863.17
A0022,C0022,savings,2024-04-05,406081.63
A0023,C0023,savings,2026-01-16,332517.04
A0024,C0024,current,2025-03-12,490447.43
A0025,C0025,savings,2025-10-02,20435.77
A0026,C0026,savings,2024-04-21,295909.85
A0027,C0027,current,2025-04-16,437346.81
A0028,C0028,savings,2024-09-21,263923.64
A0029,C0029,savings,2024-10-15,361777.03
A0030,C0030,savings,2025-07-03,328081.1
A0031,C0031,savings,2024-10-10,235806.32
A0032,C0032,current,2026-04-25,170603.49
A0033,C0033,savings,2024-04-21,325618.65
A0034,C0034,current,2025-11-28,426465.99
A0035,C0035,current,2023-09-27,191244.68
A0036,C0036,savings,2024-09-02,359921.28
A0037,C0037,savings,2024-01-08,436446.74
A0038,C0038,savings,2024-03-10,36073.53
A0039,C0039,savings,2024-10-12,460622.69
A0040,C0040,current,2024-07-05,373889.65
A0041,C0041,savings,2025-07-08,51024.68
A0042,C0042,savings,2024-08-11,436544.46
A0043,C0043,savings,2026-02-26,347612.58
A0044,C0044,current,2023-12-16,24903.5
A0045,C0045,savings,2023-10-15,148097.15
A0046,C0046,savings,2024-08-31,74493.76
A0047,C0047,savings,2025-12-12,283832.17
A0048,C0048,savings,2025-08-31,86651.86
A0049,C0049,savings,2024-01-25,435678.12
A0050,C0050,savings,2025-05-27,121933.24
A0051,C0051,current,2023-11-30,73272.62
A0052,C0052,savings,2024-09-17,128480.72
A0053,C0053,savings,2025-07-24,6679.92
A0054,C0054,current,2024-11-02,450802.29
