customer_id,spending_band,typical_amount,amount_std,preferred_merchant_ids,preferred_categories,typical_device_ids,typical_location,hour_profile,typical_hour_start,typical_hour_end,txns_per_week
C0001,low,571.93,200.18,"[""M0044"", ""M0023"", ""M0018"", ""M0119""]","[""Food Delivery"", ""Fashion""]","[""D00001""]",Mumbai,morning_person,7,11,3.0
C0002,low,352.99,123.55,"[""M0015"", ""M0087"", ""M0119"", ""M0134""]","[""Fashion"", ""Travel""]","[""D00002""]",Delhi,evening_shopper,18,22,4.2
C0003,medium,2377.4,832.09,"[""M0020"", ""M0010"", ""M0109""]","[""Entertainment"", ""Grocery""]","[""D00003""]",Mumbai,morning_person,7,11,5.7
C0004,low,413.95,144.88,"[""M0034"", ""M0001"", ""M0066"", ""M0035"", ""M0089"", ""M0032""]","[""Fuel"", ""Utilities""]","[""D00004"", ""D00005"", ""D00006""]",Mumbai,evening_shopper,18,22,2.2
C0005,medium,1591.75,557.11,"[""M0029"", ""M0034"", ""M0005"", ""M0023"", ""M0065"", ""M0120"", ""M0128"", ""M0030"", ""M0024""]","[""Fuel"", ""Fashion"", ""Electronics"", ""E-commerce""]","[""D00007"", ""D00008"", ""D00009""]",Pune,evening_shopper,18,22,0.5
C0006,low,629.5,220.32,"[""M0046"", ""M0044"", ""M0085"", ""M0065"", ""M0130"", ""M0072"", ""M0017"", ""M0095"", ""M0014"", ""M0049""]","[""Food Delivery"", ""Electronics"", ""Entertainment"", ""Utilities""]","[""D00010"", ""D00011"", ""D00012""]",Pune,morning_person,7,11,0.7
C0007,medium,1127.31,394.56,"[""M0074"", ""M0046"", ""M0085"", ""M0149"", ""M0130"", ""M0057"", ""M0091""]","[""Food Delivery"", ""Electronics"", ""Fashion""]","[""D00013""]",Kolkata,lunch_shopper,12,15,0.9
C0008,medium,1225.57,428.95,"[""M0088"", ""M0079"", ""M0108"", ""M0022"", ""M0013"", ""M0037""]","[""Travel"", ""Food Delivery"", ""Grocery"", ""Utilities""]","[""D00014""]",Hyderabad,lunch_shopper,12,15,5.1
C0009,medium,1257.25,440.04,"[""M0137"", ""M0104"", ""M0065"", ""M0121"", ""M0007"", ""M0033"", ""M0133"", ""M0100""]","[""Utilities"", ""Electronics"", ""Grocery""]","[""D00015"", ""D00016""]",Bangalore,evening_shopper,18,22,3.6
C0010,low,411.55,144.04,"[""M0102"", ""M0020"", ""M0072"", ""M0076"", ""M0128""]","[""Entertainment"", ""Healthcare"", ""E-commerce""]","[""D00017"", ""D00018""]",Hyderabad,evening_shopper,18,22,6.4
