card_id,account_id,customer_id,card_type,card_network,issued_date
CARD0001,A0001,C0001,debit,Mastercard,2024-09-11
CARD00012,A0001,C0001,debit,Mastercard,2024-09-11
CARD0002,A0002,C0002,debit,Mastercard,2026-07-14
CARD00022,A0002,C0002,debit,Visa,2026-07-14
CARD0003,A0003,C0003,debit,Mastercard,2023-10-13
CARD00032,A0003,C0003,credit,Visa,2023-10-13
CARD0004,A0004,C0004,debit,Mastercard,2025-10-21
CARD0005,A0005,C0005,debit,Mastercard,2024-08-04
CARD0006,A0006,C0006,credit,RuPay,2024-05-02
CARD0007,A0007,C0007,credit,Mastercard,2024-04-25
CARD0008,A0008,C0008,debit,Visa,2024-01-19
CARD0009,A0009,C0009,debit,Mastercard,2025-02-12
CARD0010,A0010,C0010,credit,RuPay,2025-12-08
CARD0011,A0011,C0011,debit,RuPay,2026-01-01
CARD0012,A0012,C0012,debit,Visa,2023-12-14
CARD0013,A0013,C0013,debit,RuPay,2023-12-29
CARD0014,A0014,C0014,credit,Mastercard,2024-11-01
CARD0015,A0015,C0015,debit,RuPay,2025-03-25
CARD0016,A0016,C0016,credit,RuPay,2026-07-24
CARD0017,A0017,C0017,debit,Visa,2024-09-11
CARD0018,A0018,C0018,debit,Visa,2024-10-20
CARD0019,A0019,C0019,debit,Mastercard,2024-08-17
CARD0020,A0020,C0020,credit,RuPay,2024-10-16
CARD0021,A0021,C0021,debit,Visa,2024-07-23
CARD0022,A0022,C0022,debit,Visa,2024-04-05
CARD0023,A0023,C0023,debit,RuPay,2026-01-16
CARD00232,A0023,C0023,debit,RuPay,2026-01-16
CARD0024,A0024,C0024,debit,Mastercard,2025-03-12
CARD0025,A0025,C0025,credit,Visa,2025-10-02
CARD0026,A0026,C0026,debit,Mastercard,2024-04-21
CARD0027,A0027,C0027,debit,Visa,2025-04-16
CARD00272,A0027,C0027,debit,RuPay,2025-04-16
CARD0028,A0028,C0028,debit,RuPay,2024-09-21
CARD0029,A0029,C0029,debit,Mastercard,2024-10-15
CARD0030,A0030,C0030,debit,Mastercard,2025-07-03
CARD00302,A0030,C0030,credit,Visa,2025-07-03
CARD0031,A0031,C0031,credit,Visa,2024-10-10
CARD00312,A0031,C0031,debit,Mastercard,2024-10-10
CARD0032,A0032,C0032,debit,RuPay,2026-04-25
CARD0033,A0033,C0033,debit,Visa,2024-04-21
CARD0034,A0034,C0034,debit,Mastercard,2025-11-28
CARD0035,A0035,C0035,debit,Mastercard,2023-09-27
CARD0036,A0036,C0036,debit,Visa,2024-09-02
CARD0037,A0037,C0037,debit,RuPay,2024-01-08
CARD0038,A0038,C0038,debit,RuPay,2024-03-10
CARD0039,A0039,C0039,debit,Visa,2024-10-12
CARD00392,A0039,C0039,debit,Mastercard,2024-10-12
CARD0040,A0040,C0040,debit,Visa,2024-07-05
CARD0041,A0041,C0041,credit,Mastercard,2025-07-08
CARD0042,A0042,C0042,debit,RuPay,2024-08-11
CARD00422,A0042,C0042,credit,Visa,2024-08-11
CARD0043,A0043,C0043,debit,RuPay,2026-02-26
CARD0044,A0044,C0044,debit,RuPay,2023-12-16
CARD0045,A0045,C0045,debit,Visa,2023-10-15
CARD0046,A0046,C0046,debit,Mastercard,2024-08-31
CARD00462,A0046,C0046,debit,RuPay,2024-08-31
CARD0047,A0047,C0047,debit,Visa,2025-12-12
CARD0048,A0048,C0048,debit,RuPay,2025-08-31
CARD0049,A0049,C0049,debit,RuPay,2024-01-25
CARD0050,A0050,C0050,credit,RuPay,2025-05-27
CARD0051,A0051,C0051,credit,Visa,2023-11-30
CARD0052,A0052,C0052,credit,Mastercard,2024-09-17
CARD0053,A0053,C0053,credit,Visa,2025-07-24
CARD0054,A0054,C0054,credit,Mastercard,2024-11-02
CARD0055,A0055,C0055,credit,Visa,2025-07-16
CARD00552,A0055,C0055,credit,RuPay,2025-07-16
CARD0056,A0056,C0056,debit,Visa,2023-09-19
CARD0057,A0057,C0057,credit,RuPay,2025-05-20
CARD00572,A0057,C0057,debit,Visa,2025-05-20
CARD0058,A0058,C0058,debit,Mastercard,2025-05-11
CARD0059,A0059,C0059,debit,Visa,2023-08-31
CARD00592,A0059,C0059,debit,RuPay,2023-08-31
CARD0060,A0060,C0060,debit,RuPay,2024-11-13
CARD0061,A0061,C0061,credit,Mastercard,2024-06-17
CARD0062,A0062,C0062,credit,RuPay,2026-02-12
CARD0063,A0063,C0063,debit,Visa,2023-11-13
CARD0064,A0064,C0064,debit,Visa,2024-04-28
CARD00642,A0064,C0064,debit,Visa,2024-04-28
CARD0065,A0065,C0065,debit,Mastercard,2024-06-11
CARD0066,A0066,C0066,credit,RuPay,2025-05-16
CARD00662,A0066,C0066,debit,Mastercard,2025-05-16
CARD0067,A0067,C0067,credit,Mastercard,2026-04-16
CARD0068,A0068,C0068,debit,Visa,2024-12-31
CARD00682,A0068,C0068,debit,Visa,2024-12-31
CARD0069,A0069,C0069,debit,RuPay,2024-09-01
CARD00692,A0069,C0069,credit,Mastercard,2024-09-01
CARD0070,A0070,C0070,debit,RuPay,2026-07-06
CARD0071,A0071,C0071,debit,RuPay,2023-12-18
CARD0072,A0072,C0072,debit,Mastercard,2023-12-19
CARD0073,A0073,C0073,debit,Mastercard,2024-03-20
CARD0074,A0074,C0074,credit,RuPay,2025-03-24
CARD0075,A0075,C0075,credit,Mastercard,2025-12-18
CARD0076,A0076,C0076,debit,Mastercard,2026-06-23
CARD00762,A0076,C0076,credit,RuPay,2026-06-23
CARD0077,A0077,C0077,debit,RuPay,2024-02-23
CARD0078,A0078,C0078,debit,Visa,2024-11-07
CARD0079,A0079,C0079,debit,RuPay,2026-05-09
CARD00792,A0079,C0079,credit,Visa,2026-05-09
CARD0080,A0080,C0080,credit,Visa,2024-09-21
CARD0081,A0081,C0081,debit,Mastercard,2024-10-30
CARD0082,A0082,C0082,debit,Visa,2024-03-18
CARD0083,A0083,C0083,debit,Visa,2026-01-01
CARD0084,A0084,C0084,debit,Visa,2023-12-22
CARD00842,A0084,C0084,credit,Mastercard,2023-12-22
CARD0085,A0085,C0085,debit,Mastercard,2026-02-17
CARD00852,A0085,C0085,debit,Visa,2026-02-17
CARD0086,A0086,C0086,debit,Mastercard,2023-10-31
CARD0087,A0087,C0087,debit,Visa,2025-03-05
CARD0088,A0088,C0088,debit,Mastercard,2025-02-27
CARD00882,A0088,C0088,credit,RuPay,2025-02-27
