device_id,customer_id,device_type,first_seen,is_trusted
D00001,C0001,mobile,2026-03-28,True
D00002,C0002,mobile,2026-03-23,True
D00003,C0003,mobile,2025-06-12,True
D00004,C0004,tablet,2026-05-19,True
D00005,C0004,mobile,2024-12-06,True
D00006,C0004,mobile,2025-11-02,True
D00007,C0005,desktop,2024-10-12,True
D00008,C0005,desktop,2025-11-25,True
D00009,C0005,mobile,2025-11-06,True
D00010,C0006,mobile,2025-11-06,True
D00011,C0006,mobile,2025-05-10,True
D00012,C0006,desktop,2026-01-29,True
D00013,C0007,desktop,2024-11-29,True
D00014,C0008,desktop,2025-07-12,True
D00015,C0009,pos_terminal,2025-05-28,True
D00016,C0009,mobile,2026-07-06,True
D00017,C0010,mobile,2026-01-25,True
D00018,C0010,mobile,2026-04-01,True
D00019,C0011,desktop,2025-07-21,True
D00020,C0012,desktop,2026-07-02,True
D00021,C0013,mobile,2026-08-08,True
D00022,C0014,desktop,2026-03-10,True
D00023,C0015,mobile,2024-10-05,True
D00024,C0015,pos_terminal,2025-04-07,True
D00025,C0016,mobile,2025-12-06,True
D00026,C0017,mobile,2025-04-26,True
D00027,C0017,desktop,2025-05-27,True
D00028,C0017,desktop,2024-11-15,True
D00029,C0018,mobile,2025-11-18,True
D00030,C0019,mobile,2025-09-25,True
D00031,C0019,mobile,2025-02-08,True
D00032,C0020,desktop,2024-12-25,True
D00033,C0021,mobile,2026-01-19,True
D00034,C0022,desktop,2025-09-05,True
D00035,C0023,mobile,2025-02-17,True
D00036,C0024,desktop,2026-06-16,True
D00037,C0025,desktop,2024-11-19,True
D00038,C0025,mobile,2025-05-25,True
D00039,C0025,mobile,2026-06-14,True
D00040,C0026,mobile,2025-11-02,True
D00041,C0027,desktop,2025-06-08,True
D00042,C0028,mobile,2024-11-24,True
D00043,C0028,desktop,2026-04-11,True
D00044,C0029,desktop,2025-03-31,True
D00045,C0030,mobile,2025-11-15,True
D00046,C0030,mobile,2025-02-18,True
D00047,C0031,mobile,2026-05-15,True
D00048,C0032,desktop,2025-07-26,True
D00049,C0033,mobile,2026-06-14,True
D00050,C0033,desktop,2025-11-05,True
D00051,C0034,mobile,2026-04-15,True
D00052,C0035,mobile,2026-05-24,True
D00053,C0036,mobile,2025-12-22,True
D00054,C0036,pos_terminal,2025-12-16,True
D00055,C0037,mobile,2026-02-02,True
D00056,C0038,mobile,2026-01-08,True
D00057,C0039,mobile,2025-11-02,True
D00058,C0040,desktop,2024-09-16,True
D00059,C0041,tablet,2025-12-13,True
D00060,C0041,mobile,2026-08-18,True
D00061,C0042,mobile,2026-01-19,True
D00062,C0042,mobile,2026-06-02,True
D00063,C0043,mobile,2026-02-16,True
D00064,C0044,mobile,2025-03-22,True
D00065,C0045,mobile,2024-09-18,True
D00066,C0046,mobile,2025-01-14,True
D00067,C0047,tablet,2025-03-27,True
D00068,C0048,mobile,2026-02-23,True
D00069,C0048,mobile,2026-04-11,True
D00070,C0048,mobile,2025-04-23,True
D00071,C0049,desktop,2026-08-12,True
D00072,C0050,tablet,2025-05-17,True
D00073,C0050,pos_terminal,2025-05-26,True
D00074,C0051,mobile,2024-08-31,True
D00075,C0052,mobile,2025-01-14,True
D00076,C0053,mobile,2026-07-03,True
D00077,C0053,mobile,2024-12-16,True
D00078,C0054,mobile,2025-11-09,True
D00079,C0054,mobile,2026-01-19,True
D00080,C0055,desktop,2025-07-04,True
D00081,C0056,mobile,2024-10-20,True
D00082,C0057,mobile,2024-12-15,True
D00083,C0058,mobile,2026-03-25,True
D00084,C0058,desktop,2025-12-31,True
D00085,C0059,mobile,2024-09-19,True
D00086,C0060,mobile,2024-11-06,True
D00087,C0061,pos_terminal,2026-03-29,True
D00088,C0062,desktop,2025-10-13,True
D00089,C0063,mobile,2025-02-10,True
D00090,C0063,mobile,2025-06-15,True
D00091,C0064,desktop,2025-07-19,True
D00092,C0065,mobile,2025-08-14,True
D00093,C0065,tablet,2025-05-18,True
D00094,C0066,mobile,2024-12-27,True
D00095,C0067,mobile,2025-06-10,True
D00096,C0067,tablet,2025-04-26,True
D00097,C0068,desktop,2026-03-10,True
D00098,C0069,desktop,2025-05-05,True
D00099,C0070,tablet,2026-04-22,True
D00100,C0070,desktop,2025-11-10,True
D00101,C0071,desktop,2025-12-03,True
D00102,C0072,desktop,2024-10-31,True
D00103,C0072,desktop,2026-07-14,True
D00104,C0073,mobile,2024-10-06,True
D00105,C0074,mobile,2024-12-25,True
D00106,C0075,mobile,2024-12-27,True
D00107,C0075,mobile,2026-04-04,True
D00108,C0075,pos_terminal,2025-12-19,True
D00109,C0076,tablet,2024-10-04,True
D00110,C0077,mobile,2026-02-01,True
D00111,C0077,desktop,2024-10-29,True
D00112,C0078,mobile,2025-03-26,True
D00113,C0079,desktop,2025-08-06,True
D00114,C0080,mobile,2026-01-23,True
D00115,C0080,mobile,2025-07-22,True
D00116,C0081,mobile,2025-09-08,True
D00117,C0082,mobile,2025-12-11,True
D00118,C0082,mobile,2025-08-05,True
D00119,C0083,desktop,2025-07-14,True
D00120,C0083,mobile,2025-03-27,True
D00121,C0084,desktop,2025-02-10,True
D00122,C0085,mobile,2026-04-05,True
D00123,C0085,desktop,2025-09-28,True
D00124,C0086,tablet,2024-11-23,True
D00125,C0086,mobile,2025-05-22,True
D00126,C0087,mobile,2025-07-26,True
D00127,C0088,desktop,2024-11-21,True
D00128,C0088,mobile,2025-04-04,True
D00129,C0089,desktop,2026-02-04,True
D00130,C0089,desktop,2026-02-04,True
D00131,C0089,tablet,2025-11-30,True
D00132,C0090,mobile,2025-09-08,True
D00133,C0090,pos_terminal,2025-10-10,True
D00134,C0091,mobile,2026-01-27,True
D00135,C0091,mobile,2025-04-23,True
D00136,C0092,mobile,2024-10-01,True
D00137,C0093,tablet,2025-02-14,True
D00138,C0094,tablet,2025-06-30,True
D00139,C0094,desktop,2025-12-05,True
D00140,C0095,desktop,2024-10-08,True
D00141,C0096,mobile,2024-09-01,True
D00142,C0096,tablet,2025-02-01,True
D00143,C0097,mobile,2025-04-18,True
D00144,C0098,mobile,2025-02-07,True
D00145,C0098,pos_terminal,2026-04-15,True
D00146,C0098,tablet,2024-12-11,True
D00147,C0099,mobile,2026-04-12,True
D00148,C0099,tablet,2025-03-13,True
D00149,C0100,mobile,2025-04-08,True
D00150,C0100,mobile,2025-05-08,True
D00151,C0101,desktop,2024-11-28,True
D00152,C0102,mobile,2024-09-02,True
D00153,C0102,desktop,2025-09-17,True
D00154,C0103,desktop,2026-03-30,True
D00155,C0103,mobile,2025-07-27,True
D00156,C0104,mobile,2025-01-10,True
D00157,C0105,mobile,2024-12-05,True
D00158,C0106,mobile,2025-06-18,True
D00159,C0107,mobile,2025-10-14,True
D00160,C0108,mobile,2026-02-24,True
D00161,C0109,desktop,2025-02-21,True
D00162,C0109,mobile,2025-09-19,True
D00163,C0110,mobile,2025-11-03,True
D00164,C0111,mobile,2026-06-05,True
D00165,C0111,mobile,2026-01-27,True
D00166,C0112,mobile,2026-05-15,True
D00167,C0113,tablet,2025-05-29,True
D00168,C0113,desktop,2024-10-21,True
D00169,C0114,mobile,2025-07-01,True
D00170,C0114,mobile,2026-06-27,True
D00171,C0115,mobile,2026-03-26,True
D00172,C0115,mobile,2024-09-28,True
D00173,C0116,desktop,2025-07-31,True
D00174,C0117,desktop,2024-09-10,True
D00175,C0117,mobile,2025-08-19,True
D00176,C0117,mobile,2026-08-12,True
D00177,C0118,mobile,2024-10-26,True
D00178,C0118,mobile,2026-06-27,True
D00179,C0119,mobile,2025-04-27,True
D00180,C0119,mobile,2025-11-17,True
D00181,C0120,mobile,2025-07-26,True
D00182,C0120,desktop,2025-11-15,True
D00183,C0121,desktop,2025-07-07,True
D00184,C0122,mobile,2026-03-01,True
D00185,C0122,tablet,2026-01-06,True
D00186,C0123,desktop,2025-07-17,True
D00187,C0124,mobile,2025-04-08,True
D00188,C0124,desktop,2024-11-24,True
D00189,C0125,mobile,2025-07-07,True
D00190,C0126,desktop,2024-09-12,True
D00191,C0126,desktop,2025-05-06,True
D00192,C0127,mobile,2025-01-07,True
D00193,C0128,desktop,2026-05-11,True
D00194,C0129,tablet,2025-12-20,True
D00195,C0130,mobile,2025-08-19,True
D00196,C0131,mobile,2026-06-04,True
D00197,C0132,mobile,2026-02-13,True
D00198,C0132,mobile,2026-08-11,True
D00199,C0133,mobile,2025-06-04,True
D00200,C0134,mobile,2024-11-03,True
D00201,C0134,mobile,2025-08-01,True
D00202,C0134,mobile,2026-06-13,True
D00203,C0135,tablet,2024-11-17,True
D00204,C0136,mobile,2025-03-03,True
D00205,C0136,mobile,2025-07-31,True
D00206,C0136,desktop,2025-11-27,True
D00207,C0137,mobile,2025-07-04,True
D00208,C0137,mobile,2025-10-07,True
D00209,C0138,mobile,2024-10-27,True
D00210,C0138,mobile,2025-06-30,True
D00211,C0139,mobile,2026-07-04,True
D00212,C0140,pos_terminal,2025-04-24,True
D00213,C0140,mobile,2026-03-29,True
D00214,C0140,mobile,2025-05-17,True
D00215,C0141,desktop,2025-02-15,True
D00216,C0142,desktop,2025-05-12,True
D00217,C0142,mobile,2026-04-24,True
D00218,C0143,pos_terminal,2025-01-04,True
D00219,C0144,mobile,2024-10-25,True
D00220,C0145,mobile,2025-09-27,True
D00221,C0145,desktop,2025-12-31,True
D00222,C0145,mobile,2024-11-23,True
D00223,C0146,desktop,2025-10-13,True
D00224,C0146,mobile,2025-09-27,True
D00225,C0147,mobile,2025-01-24,True
D00226,C0148,mobile,2026-07-31,True
D00227,C0149,mobile,2026-04-21,True
D00228,C0150,mobile,2025-05-25,True
D00229,C0150,mobile,2025-05-26,True
D00230,C0151,tablet,2026-03-14,True
D00231,C0151,desktop,2026-05-25,True
D00232,C0152,tablet,2026-01-10,True
D00233,C0153,mobile,2026-05-22,True
D00234,C0154,mobile,2024-12-19,True
D00235,C0155,desktop,2025-02-26,True
D00236,C0155,mobile,2024-11-14,True
D00237,C0155,mobile,2024-12-18,True
D00238,C0156,tablet,2025-03-13,True
D00239,C0157,mobile,2025-01-27,True
D00240,C0158,tablet,2025-01-08,True
D00241,C0158,desktop,2025-12-07,True
D00242,C0159,desktop,2024-12-23,True
D00243,C0160,tablet,2026-04-09,True
D00244,C0161,mobile,2026-04-08,True
D00245,C0162,tablet,2026-01-18,True
D00246,C0163,pos_terminal,2024-10-24,True
D00247,C0164,desktop,2025-01-11,True
D00248,C0165,desktop,2026-04-19,True
D00249,C0165,mobile,2025-12-27,True
D00250,C0166,tablet,2025-09-14,True
D00251,C0167,desktop,2025-08-22,True
D00252,C0168,mobile,2026-04-04,True
D00253,C0169,mobile,2025-11-07,True
D00254,C0169,mobile,2026-04-09,True
D00255,C0170,mobile,2025-11-20,True
D00256,C0171,tablet,2025-08-10,True
D00257,C0172,desktop,2026-02-07,True
D00258,C0172,mobile,2026-08-14,True
D00259,C0173,mobile,2026-07-13,True
D00260,C0174,mobile,2025-11-08,True
D00261,C0175,desktop,2026-01-08,True
D00262,C0175,mobile,2026-01-02,True
D00263,C0176,pos_terminal,2025-12-25,True
D00264,C0177,desktop,2025-05-05,True
D00265,C0177,desktop,2026-06-29,True
D00266,C0177,mobile,2025-12-27,True
