merchant_id,merchant_name,category,location,risk_level
M0001,"Sarma, Bassi and Roy",Fuel,Mumbai,low
M0002,Khanna-Sawhney,Entertainment,Bangalore,low
M0003,"Mane, Sen and Kaur",Entertainment,Chennai,low
M0004,"Khare, More and Singh",Grocery,Hyderabad,low
M0005,Pillai Ltd,Fuel,Delhi,medium
M0006,"Sastry, Shenoy and Manda",E-commerce,Pune,low
M0007,Thakkar-Wable,Electronics,Mumbai,low
M0008,Edwin-Iyengar,Healthcare,Kolkata,high
M0009,"Devi, Krishna and Ben",E-commerce,Delhi,low
M0010,"Srivastava, Prabhu and Chauhan",Entertainment,Kolkata,high
M0011,"Varty, Dash and Mane",Utilities,Delhi,low
M0012,Dyal LLC,Electronics,Kolkata,medium
M0013,Varghese-Din,Grocery,Bangalore,low
M0014,Chand-Kapadia,Utilities,Bangalore,medium
M0015,Palla-Bala,Fashion,Delhi,medium
M0016,Bera-Randhawa,Fashion,Pune,low
M0017,"Prakash, Keer and Raju",Entertainment,Delhi,high
M0018,Prasad and Sons,Fashion,Hyderabad,low
M0019,Nagar Inc,Electronics,Mumbai,low
M0020,"Nayak, Dhingra and Devan",Entertainment,Chennai,medium
M0021,Mangat Group,Healthcare,Ahmedabad,medium
M0022,"Dewan, Singh and Sen",Grocery,Kolkata,low
M0023,"Ahluwalia, Buch and Bahl",Fashion,Bangalore,low
M0024,Kale-Doctor,E-commerce,Mumbai,medium
M0025,"Wable, Sampath and Choudhry",E-commerce,Mumbai,medium
M0026,Khanna-Mitra,Healthcare,Chennai,medium
M0027,Batta and Sons,Fuel,Kolkata,low
M0028,Shankar-Bhatnagar,E-commerce,Ahmedabad,low
M0029,Tata PLC,Fuel,Kolkata,low
M0030,"Babu, Varma and Khurana",E-commerce,Kolkata,low
M0031,"Dhawan, Manne and Sanghvi",Travel,Delhi,low
M0032,Pandit and Sons,Utilities,Hyderabad,medium
M0033,"Saha, Grover and Chada",Grocery,Chennai,medium
M0034,"Patel, Bir and Vora",Fuel,Hyderabad,low
