transaction_id,customer_id,account_id,card_id,device_id,merchant_id,beneficiary_id,amount,currency,location,timestamp,payment_method,is_fraud,attack_id
TXB3B233991D,C0126,A0126,CARD0126,D00190,M0071,B0063,585.22,INR,Kolkata,2026-05-31T00:38:43,upi,False,
TXC54C1F5EB7,C0014,A0014,CARD0014,D00022,M0121,,985.22,INR,Ahmedabad,2026-05-31T01:25:39,card,False,
TX9899FA5BD6,C0106,A0106,CARD0106,D00158,M0103,,300.37,INR,Bangalore,2026-05-31T01:34:28,card,False,
TX194BB094E9,C0247,A0247,CARD0247,D00371,M0089,B0131,404.08,INR,Hyderabad,2026-05-31T01:43:04,upi,False,
TX368FE71B72,C0034,A0034,CARD0034,D00051,M0099,B0041,547.92,INR,Kolkata,2026-05-31T02:20:07,netbanking,False,
TX7C6CE9F4C5,C0047,A0047,CARD0047,D00067,M0093,,657.54,INR,Delhi,2026-05-31T02:21:34,card,False,
TXA804510154,C0088,A0088,CARD0088,D00128,M0065,,632.0,INR,Bangalore,2026-05-31T02:27:00,card,False,
TX8EAA712EEC,C0136,A0136,CARD0136,D00205,M0140,,686.33,INR,Kolkata,2026-05-31T03:20:44,upi,False,
TXB45F90A5AB,C0060,A0060,CARD0060,D00086,M0018,,1815.2,INR,Mumbai,2026-05-31T05:35:57,card,False,
TX4FE438058B,C0095,A0095,CARD0095,D00140,M0034,,296.25,INR,Chennai,2026-05-31T07:01:51,netbanking,False,
TX0431EBC1A8,C0090,A0090,CARD0090,D00132,M0037,,547.88,INR,Mumbai,2026-05-31T07:07:12,wallet,False,
TXF69041C0BD,C0138,A0138,CARD0138,D00210,M0126,,1764.03,INR,Chennai,2026-05-31T07:09:07,upi,False,
TXC2B753A1C5,C0142,A0142,CARD0142,D00217,M0053,,546.05,INR,Kolkata,2026-05-31T07:22:48,upi,False,
TX7211B231E1,C0081,A0081,CARD0081,D00116,M0081,,867.6,INR,Pune,2026-05-31T07:34:20,upi,False,
TX7E53DD75FC,C0142,A0142,CARD0142,D00216,M0112,,280.97,INR,Kolkata,2026-05-31T07:39:28,card,False,
TX3D12B7CD29,C0130,A0130,CARD0130,D00195,M0021,,320.52,INR,Ahmedabad,2026-05-31T08:08:24,card,False,
TXC128BDB5E2,C0015,A0015,CARD0015,D00023,M0148,,324.78,INR,Mumbai,2026-05-31T08:18:46,card,False,
TXB11D5D49E9,C0045,A0045,CARD0045,D00065,M0064,,2451.15,INR,Bangalore,2026-05-31T08:39:37,card,False,
TXCE4A106790,C0241,A0241,CARD0241,D00363,M0066,,425.37,INR,Bangalore,2026-05-31T08:42:40,upi,False,
TX18E2BFA132,C0166,A0166,CARD0166,D00250,M0007,,241.67,INR,Mumbai,2026-05-31T08:47:47,upi,False,
TX0FF533EC2A,C0142,A0142,CARD0142,D00216,M0054,,470.41,INR,Kolkata,2026-05-31T08:49:19,upi,False,
TX021BFB7ADE,C0095,A0095,CARD0095,D00140,M0101,,270.04,INR,Chennai,2026-05-31T09:08:28,card,False,
TXA125E1FB38,C0082,A0082,CARD0082,D00117,M0005,,651.8,INR,Kolkata,2026-05-31T09:19:34,netbanking,False,
TXD4705ADF2A,C0166,A0166,CARD0166,D00250,M0036,,319.19,INR,Mumbai,2026-05-31T09:47:58,wallet,False,
TX46A40657BC,C0235,A0235,CARD0235,D00352,M0147,,441.07,INR,Chennai,2026-05-31T10:05:02,upi,False,
TX3B1FC36EAE,C0078,A0078,CARD0078,D00112,M0037,,636.44,INR,Pune,2026-05-31T10:17:36,upi,False,
TX7B09E9D54B,C0128,A0128,CARD0128,D00193,M0088,B0054,284.82,INR,Mumbai,2026-05-31T10:28:27,upi,False,
TXABC330AAB9,C0015,A0015,CARD0015,D00023,M0148,B0043,536.69,INR,Mumbai,2026-05-31T10:30:01,wallet,False,
TXE580AE1F1A,C0080,A0080,CARD0080,D00114,M0077,,1796.13,INR,Ahmedabad,2026-05-31T10:33:27,card,False,
TX8F3255E2F7,C0204,A0204,CARD0204,D00304,M0071,B0116,344.9,INR,Chennai,2026-05-31T10:40:31,card,False,
TX444CC3B213,C0162,A0162,CARD0162,D00245,M0007,,988.85,INR,Kolkata,2026-05-31T11:11:12,upi,False,
TX7C6EB529AA,C0085,A0085,CARD0085,D00122,M0005,,2355.29,INR,Delhi,2026-05-31T11:39:02,card,False,
TX681E64AAE2,C0044,A0044,CARD0044,D00064,M0097,,6736.3,INR,Hyderabad,2026-05-31T11:49:32,upi,False,
TX48AD01AC86,C0287,A0287,CARD0287,D00429,M0075,,244.24,INR,Ahmedabad,2026-05-31T12:06:08,card,False,
TX4F28341479,C0011,A0011,CARD0011,D00019,M0115,,540.97,INR,Chennai,2026-05-31T12:10:50,upi,False,
TX77CF61FA74,C0165,A0165,CARD0165,D00249,M0102,,287.1,INR,Ahmedabad,2026-05-31T12:11:44,upi,False,
TXA625B644E2,C0273,A0273,CARD0273,D00409,M0058,,957.2,INR,Hyderabad,2026-05-31T12:11:54,card,False,
TXEAB806634B,C0223,A0223,CARD0223,D00336,M0094,B0061,293.74,INR,Delhi,2026-05-31T12:12:29,card,False,
TXEB9141360C,C0108,A0108,CARD0108,D00160,M0095,,2700.46,INR,Delhi,2026-05-31T12:16:39,upi,False,
TX75B99D2273,C0208,A0208,CARD0208,D00312,M0002,,1450.89,INR,Kolkata,2026-05-31T12:21:47,card,False,
TX3D1B4E75E6,C0108,A0108,CARD0108,D00160,M0108,,2642.26,INR,Delhi,2026-05-31T12:24:18,card,False,
TXEDD16841A9,C0102,A0102,CARD0102,D00153,M0075,,454.45,INR,Hyderabad,2026-05-31T12:28:22,upi,False,
TXE61EA3E8FC,C0208,A0208,CARD0208,D00312,M0078,,1655.75,INR,Kolkata,2026-05-31T12:33:32,netbanking,False,
TX3AAABB385B,C0040,A0040,CARD0040,D00058,M0007,,305.29,INR,Mumbai,2026-05-31T12:39:34,netbanking,False,
TX7463407ABB,C0054,A0054,CARD0054,D00079,M0048,,188.69,INR,Bangalore,2026-05-31T12:41:00,upi,False,
TX80E49191DB,C0145,A0145,CARD0145,D00222,M0084,,887.4,INR,Mumbai,2026-05-31T12:43:10,upi,False,
TX9515913B23,C0069,A0069,CARD0069,D00098,M0127,,667.04,INR,Kolkata,2026-05-31T12:55:48,card,False,
TX8EE3942D57,C0087,A0087,CARD0087,D00126,M0123,,1591.34,INR,Pune,2026-05-31T12:58:53,card,False,
TX1125327807,C0199,A0199,CARD0199,D00296,M0114,,1539.14,INR,Mumbai,2026-05-31T13:03:22,upi,False,
TX085365AA6D,C0034,A0034,CARD0034,D00051,M0104,,688.69,INR,Kolkata,2026-05-31T13:04:35,upi,False,
TX4C02B3D3C5,C0283,A0283,CARD0283,D00423,M0122,,864.81,INR,Kolkata,2026-05-31T13:07:56,card,False,
